Stocks,Selected Features,Train Accuracy,Test Accuracy
CSX,[17 30 53 39 12 36 14 10 35  3 52 44  8 40 31 48],0.7407407407407407,0.53846153846153844
AAL,[ 3 36 10 47 40 13 23  8  9 43 48  7 26 29 52 24],0.75,0.57692307692307687
