Stocks,Selected Features,Train Accuracy,Test Accuracy
CSX,[17 30 53 39 12 36 14 10 35  3 52 44  8 40 31 48],0.70370370370370372,0.61538461538461542
AAL,[ 3 36 10 47 40 13 23  8  9 43 48  7 26 29 52 24],0.7592592592592593,0.65384615384615385
